net,length_um
cpuregs\[30\]\[10\],17.07µm
_02351_,17.06µm
_04467_,17.06µm
cpuregs\[16\]\[9\],17.06µm
cpuregs\[5\]\[29\],17.055µm
count_cycle\[12\],17.04µm
cpuregs\[14\]\[20\],17.035µm
_02146_,17.02µm
_04581_,17.02µm
_04762_,17.02µm
cpuregs\[12\]\[20\],17.02µm
cpuregs\[17\]\[28\],17.02µm
cpuregs\[19\]\[1\],17.02µm
cpuregs\[19\]\[8\],17.02µm
cpuregs\[3\]\[7\],17.02µm
cpuregs\[4\]\[11\],17.02µm
cpuregs\[8\]\[8\],17.02µm
cpuregs\[9\]\[25\],17.02µm
cpuregs\[6\]\[24\],17.005µm
_03094_,17µm
cpuregs\[16\]\[8\],17µm
_03222_,16.98µm
_03903_,16.98µm
cpuregs\[27\]\[16\],16.98µm
cpuregs\[3\]\[15\],16.98µm
cpuregs\[5\]\[11\],16.98µm
cpuregs\[8\]\[24\],16.98µm
mem_la_addr[16],16.97µm
mem_wstrb[1],16.97µm
_02140_,16.96µm
cpuregs\[1\]\[11\],16.94µm
reg_next_pc\[6\],16.94µm
net1156,16.94µm
cpuregs\[20\]\[15\],16.92µm
cpuregs\[9\]\[23\],16.92µm
cpuregs\[14\]\[25\],16.91µm
_02154_,16.9µm
_03004_,16.9µm
cpuregs\[31\]\[14\],16.9µm
_01871_,16.88µm
cpuregs\[10\]\[3\],16.875µm
cpuregs\[15\]\[22\],16.86µm
_03969_,16.82µm
_01108_,16.815µm
cpuregs\[18\]\[29\],16.81µm
cpuregs\[6\]\[23\],16.81µm
mem_la_wdata[22],16.81µm
_02022_,16.8µm
_03201_,16.8µm
cpuregs\[19\]\[13\],16.8µm
cpuregs\[27\]\[23\],16.78µm
cpuregs\[31\]\[19\],16.78µm
mem_la_addr[11],16.78µm
mem_wdata[7],16.77µm
_03860_,16.76µm
pcpi_rs1[4],16.76µm
net1681,16.76µm
_03064_,16.74µm
cpuregs\[23\]\[17\],16.74µm
cpuregs\[31\]\[4\],16.74µm
_03941_,16.735µm
cpuregs\[22\]\[2\],16.73µm
_04320_,16.72µm
cpuregs\[25\]\[23\],16.72µm
cpuregs\[31\]\[23\],16.7µm
pcpi_rs2[25],16.7µm
cpuregs\[19\]\[21\],16.69µm
count_instr\[28\],16.68µm
count_instr\[7\],16.68µm
cpuregs\[7\]\[27\],16.68µm
cpuregs\[25\]\[18\],16.66µm
mem_addr[11],16.66µm
net165,16.66µm
cpuregs\[22\]\[30\],16.655µm
_02333_,16.64µm
_03112_,16.64µm
_03319_,16.64µm
instr_sltiu,16.64µm
_04798_,16.62µm
cpuregs\[29\]\[20\],16.6µm
mem_addr[6],16.6µm
cpuregs\[31\]\[25\],16.58µm
cpuregs\[14\]\[16\],16.57µm
_02126_,16.56µm
_03344_,16.56µm
_03630_,16.56µm
_03653_,16.56µm
cpuregs\[0\]\[26\],16.56µm
cpuregs\[11\]\[5\],16.56µm
cpuregs\[17\]\[6\],16.56µm
cpuregs\[27\]\[21\],16.56µm
cpuregs\[31\]\[27\],16.56µm
reg_sh\[4\],16.56µm
_01110_,16.54µm
_04811_,16.54µm
mem_la_addr[6],16.54µm
_04361_,16.535µm
cpuregs\[10\]\[25\],16.52µm
cpuregs\[11\]\[23\],16.52µm
cpuregs\[11\]\[3\],16.52µm
cpuregs\[17\]\[14\],16.52µm
instr_andi,16.52µm
_02874_,16.5µm
_03523_,16.5µm
pcpi_rs1[31],16.49µm
_01571_,16.48µm
_02613_,16.48µm
_02900_,16.48µm
_03157_,16.465µm
_02164_,16.46µm
_02552_,16.46µm
_02998_,16.46µm
_04297_,16.46µm
net1900,16.46µm
_03526_,16.44µm
net163,16.44µm
_04703_,16.425µm
count_instr\[10\],16.42µm
_03392_,16.405µm
_02680_,16.4µm
_03487_,16.4µm
cpuregs\[25\]\[4\],16.4µm
cpuregs\[22\]\[28\],16.39µm
_04064_,16.38µm
_04757_,16.38µm
reg_out\[23\],16.38µm
_02155_,16.36µm
count_cycle\[56\],16.36µm
cpuregs\[13\]\[27\],16.36µm
reg_next_pc\[28\],16.36µm
_02926_,16.34µm
_03117_,16.32µm
_03305_,16.32µm
_04699_,16.32µm
cpuregs\[15\]\[23\],16.32µm
cpuregs\[6\]\[13\],16.315µm
_03041_,16.3µm
reg_next_pc\[20\],16.3µm
count_cycle\[8\],16.28µm
mem_la_addr[23],16.26µm
net1193,16.26µm
_02316_,16.24µm
cpuregs\[15\]\[7\],16.24µm
cpuregs\[10\]\[20\],16.23µm
_01834_,16.22µm
_02756_,16.22µm
cpuregs\[12\]\[13\],16.22µm
cpuregs\[17\]\[5\],16.22µm
cpuregs\[1\]\[18\],16.22µm
_03740_,16.2µm
mem_wdata[4],16.2µm
_02664_,16.18µm
_04236_,16.18µm
_04485_,16.18µm
cpuregs\[24\]\[29\],16.16µm
cpuregs\[29\]\[21\],16.14µm
_04022_,16.12µm
latched_is_lb,16.12µm
cpuregs\[26\]\[26\],16.11µm
_02906_,16.1µm
_03898_,16.1µm
cpuregs\[19\]\[3\],16.1µm
cpuregs\[20\]\[23\],16.1µm
cpuregs\[21\]\[13\],16.1µm
cpuregs\[21\]\[16\],16.1µm
cpuregs\[25\]\[29\],16.1µm
cpuregs\[5\]\[6\],16.1µm
mem_wdata[17],16.09µm
_03805_,16.08µm
mem_wdata[20],16.07µm
_01757_,16.06µm
net1912,16.06µm
cpuregs\[30\]\[6\],16.05µm
_03340_,16.04µm
_03183_,16.03µm
_02081_,16.02µm
cpuregs\[7\]\[8\],16.02µm
_04622_,16µm
_01563_,15.99µm
_04701_,15.98µm
cpuregs\[10\]\[4\],15.98µm
cpuregs\[17\]\[23\],15.98µm
cpuregs\[20\]\[6\],15.98µm
cpuregs\[21\]\[0\],15.98µm
cpuregs\[25\]\[8\],15.98µm
cpuregs\[29\]\[16\],15.98µm
cpuregs\[7\]\[16\],15.98µm
cpuregs\[25\]\[3\],15.96µm
cpuregs\[10\]\[15\],15.95µm
mem_la_addr[31],15.95µm
net1071,15.95µm
_02306_,15.94µm
_04514_,15.92µm
cpuregs\[29\]\[22\],15.92µm
cpuregs\[0\]\[17\],15.9µm
cpuregs\[23\]\[0\],15.9µm
cpuregs\[14\]\[2\],15.89µm
cpuregs\[30\]\[17\],15.89µm
_00995_,15.885µm
_03909_,15.88µm
_04230_,15.86µm
cpuregs\[15\]\[14\],15.86µm
_04209_,15.84µm
cpuregs\[5\]\[20\],15.84µm
mem_la_addr[7],15.84µm
cpuregs\[2\]\[10\],15.82µm
cpuregs\[9\]\[13\],15.82µm
mem_addr[24],15.82µm
_02090_,15.81µm
_03082_,15.8µm
net1113,15.8µm
is_slli_srli_srai,15.78µm
net1238,15.78µm
_02788_,15.76µm
cpuregs\[10\]\[8\],15.755µm
cpuregs\[14\]\[9\],15.75µm
cpuregs\[11\]\[11\],15.74µm
cpuregs\[20\]\[5\],15.74µm
_03491_,15.72µm
_04359_,15.72µm
_04513_,15.72µm
count_cycle\[30\],15.72µm
cpuregs\[25\]\[10\],15.72µm
reg_out\[3\],15.72µm
_03759_,15.7µm
_03823_,15.7µm
_02952_,15.68µm
_04337_,15.68µm
_04443_,15.68µm
reg_next_pc\[14\],15.68µm
cpuregs\[26\]\[29\],15.65µm
_00314_,15.645µm
_03147_,15.64µm
_03282_,15.64µm
alu_out\[23\],15.64µm
cpuregs\[16\]\[10\],15.64µm
cpuregs\[16\]\[6\],15.64µm
cpuregs\[21\]\[14\],15.64µm
cpuregs\[25\]\[19\],15.64µm
cpuregs\[25\]\[21\],15.64µm
cpuregs\[27\]\[20\],15.64µm
net1222,15.64µm
count_instr\[1\],15.61µm
cpuregs\[1\]\[10\],15.6µm
cpuregs\[1\]\[16\],15.6µm
net89,15.57µm
_02380_,15.56µm
cpuregs\[29\]\[8\],15.56µm
cpuregs\[30\]\[11\],15.55µm
_01781_,15.54µm
_03681_,15.54µm
cpuregs\[6\]\[30\],15.53µm
_03686_,15.52µm
cpuregs\[15\]\[2\],15.52µm
cpuregs\[5\]\[23\],15.52µm
_01915_,15.5µm
_03086_,15.5µm
_03212_,15.5µm
_04352_,15.5µm
cpuregs\[27\]\[27\],15.5µm
cpuregs\[31\]\[9\],15.5µm
_00913_,15.48µm
_02712_,15.48µm
cpuregs\[25\]\[30\],15.48µm
latched_is_lh,15.48µm
_01953_,15.46µm
_03020_,15.46µm
net1875,15.46µm
_04300_,15.44µm
cpuregs\[6\]\[2\],15.43µm
pcpi_rs2[22],15.43µm
_02052_,15.42µm
_04192_,15.42µm
cpuregs\[11\]\[24\],15.42µm
cpuregs\[5\]\[8\],15.42µm
mem_wdata[21],15.41µm
_04639_,15.4µm
cpuregs\[15\]\[15\],15.4µm
cpuregs\[17\]\[11\],15.4µm
cpuregs\[19\]\[22\],15.4µm
mem_addr[30],15.39µm
_01743_,15.38µm
_02797_,15.38µm
_03106_,15.38µm
_03422_,15.38µm
_04407_,15.38µm
cpuregs\[29\]\[12\],15.38µm
_04124_,15.36µm
_04759_,15.34µm
cpuregs\[16\]\[13\],15.34µm
cpuregs\[20\]\[14\],15.32µm
cpuregs\[25\]\[12\],15.32µm
reg_next_pc\[13\],15.32µm
reg_sh\[1\],15.32µm
net1089,15.31µm
_03175_,15.3µm
_04324_,15.3µm
mem_rdata_q\[4\],15.3µm
cpuregs\[0\]\[14\],15.28µm
_02618_,15.26µm
_04855_,15.26µm
cpuregs\[0\]\[13\],15.26µm
cpuregs\[24\]\[1\],15.26µm
_02161_,15.22µm
_02672_,15.22µm
_02743_,15.22µm
_04183_,15.22µm
count_cycle\[51\],15.22µm
cpuregs\[11\]\[8\],15.22µm
cpuregs\[3\]\[25\],15.22µm
net1184,15.22µm
_01874_,15.2µm
_04657_,15.2µm
count_cycle\[18\],15.2µm
cpuregs\[19\]\[31\],15.2µm
cpuregs\[4\]\[15\],15.2µm
cpuregs\[31\]\[16\],15.18µm
_04143_,15.17µm
_02208_,15.16µm
_03078_,15.16µm
_03298_,15.16µm
_03316_,15.16µm
_04709_,15.14µm
count_instr\[16\],15.14µm
cpuregs\[1\]\[23\],15.14µm
mem_la_addr[19],15.13µm
_02216_,15.12µm
_02461_,15.12µm
_04247_,15.12µm
_04839_,15.12µm
net1349,15.12µm
_04084_,15.1µm
cpuregs\[5\]\[27\],15.1µm
cpuregs\[7\]\[23\],15.1µm
reg_next_pc\[12\],15.1µm
_04160_,15.08µm
count_cycle\[27\],15.08µm
cpuregs\[29\]\[11\],15.08µm
_02559_,15.06µm
_03842_,15.06µm
cpuregs\[0\]\[5\],15.06µm
cpuregs\[31\]\[22\],15.06µm
_04208_,15.04µm
alu_out\[29\],15.04µm
_01797_,15.02µm
_02144_,15.02µm
cpuregs\[16\]\[2\],15.02µm
cpuregs\[19\]\[23\],15.02µm
cpuregs\[24\]\[28\],15.02µm
cpuregs\[26\]\[6\],15.01µm
cpuregs\[30\]\[21\],15.01µm
_02670_,15µm
_03149_,15µm
_03510_,15µm
cpuregs\[31\]\[31\],15µm
cpuregs\[18\]\[24\],14.995µm
_00384_,14.985µm
cpuregs\[29\]\[24\],14.98µm
net1963,14.98µm
mem_addr[31],14.97µm
_00023_,14.965µm
_04449_,14.96µm
_01752_,14.94µm
cpuregs\[19\]\[20\],14.94µm
cpuregs\[23\]\[27\],14.94µm
mem_wdata[0],14.94µm
_03221_,14.92µm
_04761_,14.92µm
count_cycle\[53\],14.92µm
cpuregs\[28\]\[3\],14.92µm
mem_wdata[6],14.92µm
_03575_,14.91µm
_00856_,14.905µm
pcpi_rs1[29],14.9µm
_04851_,14.88µm
count_instr\[55\],14.88µm
net112,14.88µm
_02401_,14.86µm
cpuregs\[20\]\[20\],14.86µm
pcpi_rs2[24],14.86µm
reg_next_pc\[10\],14.86µm
net138,14.86µm
cpuregs\[29\]\[3\],14.84µm
instr_lb,14.84µm
net90,14.84µm
_01320_,14.825µm
_01729_,14.82µm
_02227_,14.82µm
_02977_,14.82µm
_03923_,14.82µm
_04426_,14.82µm
_04810_,14.82µm
cpuregs\[20\]\[10\],14.82µm
_02198_,14.8µm
_03302_,14.8µm
_03878_,14.8µm
_04532_,14.785µm
_01886_,14.78µm
_03329_,14.78µm
cpuregs\[28\]\[20\],14.78µm
cpuregs\[10\]\[2\],14.77µm
cpuregs\[15\]\[0\],14.77µm
cpuregs\[27\]\[17\],14.77µm
_01862_,14.76µm
_04175_,14.76µm
_04591_,14.76µm
_02131_,14.74µm
count_instr\[22\],14.74µm
cpuregs\[26\]\[31\],14.73µm
_01899_,14.72µm
cpuregs\[17\]\[22\],14.72µm
cpuregs\[20\]\[26\],14.72µm
cpuregs\[23\]\[7\],14.72µm
cpuregs\[27\]\[13\],14.72µm
cpuregs\[3\]\[23\],14.72µm
cpuregs\[7\]\[13\],14.72µm
net1816,14.72µm
_02561_,14.7µm
_04722_,14.7µm
_01111_,14.685µm
_03255_,14.68µm
cpuregs\[10\]\[11\],14.68µm
cpuregs\[12\]\[22\],14.68µm
cpuregs\[21\]\[15\],14.68µm
cpuregs\[18\]\[8\],14.67µm
_02866_,14.65µm
count_instr\[19\],14.64µm
cpuregs\[1\]\[12\],14.64µm
cpuregs\[28\]\[12\],14.64µm
net161,14.64µm
_01808_,14.62µm
_01566_,14.6µm
_04445_,14.6µm
cpuregs\[1\]\[24\],14.6µm
cpuregs\[31\]\[17\],14.6µm
_01589_,14.58µm
_03929_,14.58µm
cpuregs\[1\]\[20\],14.58µm
_03853_,14.57µm
_03964_,14.565µm
_03546_,14.56µm
cpuregs\[18\]\[18\],14.55µm
cpuregs\[26\]\[25\],14.55µm
_02675_,14.54µm
_04684_,14.54µm
_04861_,14.54µm
reg_next_pc\[9\],14.54µm
_03327_,14.52µm
cpuregs\[15\]\[5\],14.52µm
cpuregs\[18\]\[19\],14.51µm
_01928_,14.5µm
cpuregs\[17\]\[18\],14.5µm
pcpi_rs2[15],14.49µm
cpuregs\[13\]\[30\],14.48µm
cpuregs\[27\]\[11\],14.48µm
cpuregs\[31\]\[26\],14.48µm
instr_srl,14.48µm
pcpi_rs1[8],14.48µm
_04298_,14.475µm
cpuregs\[27\]\[4\],14.475µm
_01667_,14.46µm
_03543_,14.46µm
cpuregs\[25\]\[13\],14.46µm
cpuregs\[4\]\[14\],14.46µm
pcpi_rs1[6],14.46µm
net1619,14.46µm
net2172,14.46µm
cpuregs\[14\]\[22\],14.455µm
_04743_,14.45µm
_02568_,14.44µm
count_cycle\[63\],14.44µm
_02141_,14.42µm
cpuregs\[20\]\[21\],14.42µm
cpuregs\[5\]\[17\],14.42µm
net80,14.42µm
net2222,14.42µm
cpuregs\[26\]\[4\],14.4µm
cpuregs\[7\]\[25\],14.4µm
mem_la_addr[15],14.4µm
_03980_,14.395µm
_02187_,14.38µm
_02859_,14.38µm
count_instr\[4\],14.38µm
net93,14.38µm
_02973_,14.365µm
cpuregs\[18\]\[25\],14.35µm
_02077_,14.345µm
_02920_,14.34µm
_03090_,14.34µm
_04808_,14.34µm
cpuregs\[13\]\[16\],14.34µm
_01097_,14.33µm
_03453_,14.33µm
_02060_,14.32µm
_01735_,14.3µm
_01795_,14.3µm
_02214_,14.3µm
_04012_,14.3µm
_04824_,14.3µm
cpuregs\[7\]\[9\],14.3µm
cpuregs\[14\]\[0\],14.29µm
_03168_,14.28µm
_03220_,14.28µm
cpuregs\[26\]\[13\],14.27µm
_01186_,14.265µm
_03181_,14.26µm
cpuregs\[0\]\[25\],14.26µm
cpuregs\[16\]\[5\],14.26µm
cpuregs\[18\]\[3\],14.26µm
cpuregs\[1\]\[26\],14.26µm
cpuregs\[23\]\[24\],14.26µm
cpuregs\[3\]\[12\],14.26µm
mem_wdata[5],14.25µm
_04308_,14.24µm
_04542_,14.24µm
net1968,14.24µm
_01650_,14.22µm
cpuregs\[13\]\[21\],14.22µm
cpuregs\[27\]\[31\],14.22µm
_02136_,14.2µm
_02918_,14.2µm
_03438_,14.2µm
cpuregs\[18\]\[22\],14.195µm
cpuregs\[22\]\[1\],14.19µm
_03116_,14.18µm
_03564_,14.18µm
count_cycle\[59\],14.18µm
cpuregs\[7\]\[21\],14.18µm
net156,14.18µm
_03676_,14.16µm
cpuregs\[5\]\[26\],14.16µm
reg_out\[16\],14.16µm
cpuregs\[22\]\[13\],14.155µm
_03455_,14.145µm
cpuregs\[21\]\[10\],14.14µm
cpuregs\[27\]\[14\],14.14µm
net2155,14.14µm
_02945_,14.12µm
_03754_,14.12µm
cpuregs\[0\]\[12\],14.12µm
net2058,14.12µm
_04325_,14.11µm
_02098_,14.1µm
net2088,14.1µm
_02086_,14.06µm
cpuregs\[19\]\[30\],14.06µm
mem_wdata[31],14.05µm
cpuregs\[16\]\[12\],14.04µm
cpuregs\[21\]\[23\],14.04µm
cpuregs\[26\]\[12\],14.035µm
_03352_,14.02µm
cpuregs\[0\]\[22\],14.02µm
cpuregs\[27\]\[9\],14.02µm
mem_la_wdata[0],14.02µm
_01730_,14µm
_02970_,14µm
_03826_,14µm
count_cycle\[45\],14µm
cpuregs\[13\]\[12\],14µm
cpuregs\[20\]\[3\],14µm
cpuregs\[23\]\[20\],14µm
cpuregs\[24\]\[0\],14µm
cpuregs\[30\]\[25\],14µm
cpuregs\[7\]\[2\],14µm
_01119_,13.995µm
cpuregs\[10\]\[16\],13.995µm
mem_la_wdata[1],13.98µm
pcpi_rs2[31],13.98µm
cpuregs\[2\]\[27\],13.97µm
_01965_,13.96µm
_03691_,13.96µm
_04079_,13.96µm
net1114,13.96µm
_02192_,13.94µm
cpuregs\[23\]\[15\],13.94µm
cpuregs\[31\]\[8\],13.94µm
cpuregs\[10\]\[30\],13.93µm
_04576_,13.92µm
count_instr\[35\],13.92µm
cpuregs\[1\]\[4\],13.92µm
cpuregs\[21\]\[26\],13.92µm
cpuregs\[25\]\[31\],13.92µm
net1429,13.92µm
mem_rdata[30],13.91µm
mem_wdata[25],13.91µm
_01756_,13.9µm
_02897_,13.9µm
_01109_,13.895µm
_03463_,13.895µm
cpuregs\[26\]\[16\],13.895µm
cpuregs\[31\]\[29\],13.89µm
_01123_,13.88µm
_03440_,13.88µm
pcpi_rs2[4],13.88µm
_01105_,13.865µm
_01103_,13.86µm
net1313,13.86µm
cpuregs\[30\]\[26\],13.85µm
_02698_,13.84µm
_04221_,13.84µm
_04372_,13.84µm
_04634_,13.84µm
_04723_,13.84µm
cpuregs\[0\]\[4\],13.84µm
_03512_,13.82µm
_02117_,13.8µm
cpuregs\[15\]\[12\],13.8µm
cpuregs\[27\]\[25\],13.8µm
net1924,13.8µm
_01829_,13.78µm
_02726_,13.78µm
_03457_,13.78µm
_04600_,13.78µm
_04847_,13.76µm
cpuregs\[29\]\[25\],13.76µm
_01847_,13.74µm
_02097_,13.74µm
_04413_,13.74µm
cpuregs\[28\]\[4\],13.74µm
reg_next_pc\[19\],13.74µm
net2087,13.74µm
cpuregs\[14\]\[8\],13.735µm
_01624_,13.72µm
_04751_,13.72µm
count_instr\[31\],13.72µm
_01094_,13.705µm
cpuregs\[5\]\[25\],13.68µm
net1610,13.68µm
_03418_,13.66µm
cpuregs\[15\]\[31\],13.66µm
_03328_,13.64µm
_04074_,13.64µm
_04408_,13.64µm
net1455,13.64µm
cpuregs\[30\]\[8\],13.63µm
_01686_,13.62µm
_02470_,13.62µm
_03256_,13.62µm
_03921_,13.62µm
_04446_,13.62µm
net1635,13.62µm
_01783_,13.6µm
cpuregs\[0\]\[10\],13.6µm
cpuregs\[27\]\[6\],13.6µm
cpuregs\[30\]\[7\],13.59µm
_01192_,13.585µm
_03139_,13.58µm
cpuregs\[15\]\[29\],13.58µm
cpuregs\[15\]\[6\],13.58µm
cpuregs\[4\]\[2\],13.58µm
pcpi_rs1[19],13.57µm
_02013_,13.56µm
cpuregs\[13\]\[31\],13.56µm
cpuregs\[17\]\[9\],13.56µm
net1882,13.56µm
_04112_,13.54µm
cpuregs\[13\]\[9\],13.54µm
cpuregs\[21\]\[2\],13.54µm
_02934_,13.52µm
_03277_,13.52µm
pcpi_rs1[24],13.52µm
pcpi_rs1[26],13.52µm
net168,13.52µm
cpuregs\[29\]\[15\],13.51µm
_00186_,13.505µm
_02827_,13.5µm
_03732_,13.5µm
_04219_,13.5µm
cpuregs\[14\]\[27\],13.49µm
_02162_,13.475µm
_03571_,13.47µm
_00522_,13.465µm
_03299_,13.46µm
_04016_,13.46µm
count_cycle\[32\],13.46µm
cpuregs\[2\]\[7\],13.46µm
cpuregs\[10\]\[26\],13.45µm
_03119_,13.44µm
_04800_,13.44µm
_03916_,13.42µm
cpuregs\[13\]\[13\],13.42µm
net1378,13.42µm
cpuregs\[22\]\[27\],13.39µm
_01475_,13.38µm
_01613_,13.38µm
_03539_,13.38µm
_04260_,13.38µm
_04469_,13.38µm
count_cycle\[54\],13.38µm
cpuregs\[0\]\[18\],13.38µm
cpuregs\[10\]\[1\],13.37µm
count_instr\[37\],13.36µm
_04911_,13.345µm
_01817_,13.34µm
cpuregs\[1\]\[29\],13.34µm
cpuregs\[29\]\[7\],13.34µm
cpuregs\[5\]\[16\],13.34µm
cpuregs\[7\]\[17\],13.34µm
cpuregs\[9\]\[31\],13.34µm
_01116_,13.335µm
count_cycle\[42\],13.325µm
_03825_,13.32µm
_04526_,13.32µm
count_cycle\[21\],13.32µm
_02134_,13.305µm
_02524_,13.3µm
cpuregs\[1\]\[8\],13.3µm
cpuregs\[8\]\[1\],13.3µm
_03027_,13.28µm
_03432_,13.28µm
reg_next_pc\[23\],13.28µm
net86,13.28µm
net1468,13.28µm
_00337_,13.265µm
_01976_,13.26µm
count_instr\[13\],13.26µm
cpuregs\[30\]\[20\],13.245µm
cpuregs\[22\]\[9\],13.235µm
_01617_,13.22µm
_01955_,13.22µm
_03816_,13.22µm
_03177_,13.2µm
_04134_,13.2µm
_04853_,13.2µm
_04752_,13.18µm
cpuregs\[15\]\[20\],13.18µm
_02929_,13.17µm
cpuregs\[18\]\[12\],13.17µm
_00684_,13.165µm
_01302_,13.165µm
_03777_,13.16µm
_04463_,13.16µm
_04510_,13.16µm
count_cycle\[57\],13.16µm
reg_next_pc\[2\],13.16µm
net1656,13.16µm
cpuregs\[11\]\[12\],13.14µm
cpuregs\[31\]\[15\],13.14µm
cpuregs\[9\]\[29\],13.14µm
cpuregs\[14\]\[29\],13.12µm
cpuregs\[9\]\[18\],13.12µm
_03012_,13.1µm
_04775_,13.1µm
cpuregs\[11\]\[9\],13.1µm
cpuregs\[3\]\[1\],13.1µm
_01087_,13.095µm
_02678_,13.08µm
_04357_,13.08µm
cpuregs\[11\]\[20\],13.08µm
mem_addr[23],13.06µm
_01556_,13.04µm
_03439_,13.04µm
count_instr\[9\],13.04µm
reg_next_pc\[11\],13.04µm
cpuregs\[6\]\[1\],13.03µm
cpuregs\[11\]\[13\],13.02µm
_03644_,13µm
_04471_,12.96µm
_04605_,12.96µm
_04753_,12.96µm
mem_la_addr[2],12.96µm
net1188,12.96µm
net1868,12.96µm
_03976_,12.945µm
cpuregs\[30\]\[9\],12.93µm
cpuregs\[26\]\[20\],12.925µm
_01642_,12.92µm
_02624_,12.9µm
net1581,12.9µm
_01120_,12.89µm
cpuregs\[30\]\[18\],12.89µm
mem_la_addr[29],12.89µm
mem_wdata[15],12.89µm
cpuregs\[17\]\[8\],12.88µm
cpuregs\[28\]\[17\],12.88µm
cpuregs\[29\]\[26\],12.88µm
cpuregs\[9\]\[5\],12.88µm
instr_add,12.88µm
_03441_,12.86µm
reg_next_pc\[24\],12.86µm
net1683,12.86µm
cpuregs\[14\]\[1\],12.85µm
_01830_,12.84µm
cpuregs\[12\]\[17\],12.84µm
cpuregs\[21\]\[3\],12.84µm
net1037,12.84µm
net56,12.84µm
_03625_,12.82µm
_04645_,12.82µm
net1809,12.82µm
cpuregs\[30\]\[4\],12.815µm
_02123_,12.8µm
_03325_,12.8µm
_03482_,12.8µm
cpuregs\[24\]\[16\],12.8µm
cpuregs\[30\]\[2\],12.795µm
_00122_,12.785µm
_03757_,12.78µm
reg_next_pc\[31\],12.78µm
net2159,12.78µm
cpuregs\[2\]\[19\],12.775µm
_02683_,12.76µm
_03554_,12.76µm
_03607_,12.76µm
_04458_,12.76µm
_04653_,12.76µm
cpuregs\[16\]\[17\],12.76µm
cpuregs\[17\]\[7\],12.76µm
net2260,12.76µm
_01160_,12.745µm
_04474_,12.74µm
_04594_,12.74µm
_03058_,12.72µm
_03469_,12.72µm
_04094_,12.72µm
net1980,12.72µm
_01902_,12.71µm
_03813_,12.7µm
alu_out_q\[25\],12.7µm
net61,12.7µm
cpuregs\[2\]\[5\],12.67µm
_03178_,12.66µm
_04310_,12.66µm
_02032_,12.65µm
_02754_,12.64µm
reg_next_pc\[30\],12.64µm
reg_out\[21\],12.64µm
_01592_,12.62µm
_04838_,12.62µm
_01727_,12.6µm
cpuregs\[7\]\[22\],12.6µm
_00021_,12.595µm
_02093_,12.59µm
_01610_,12.58µm
_01615_,12.58µm
_02576_,12.58µm
_04227_,12.58µm
_04472_,12.58µm
_02051_,12.56µm
_03538_,12.56µm
mem_la_wdata[27],12.55µm
mem_wdata[22],12.55µm
_03093_,12.545µm
count_instr\[23\],12.52µm
cpuregs\[6\]\[21\],12.51µm
_02791_,12.5µm
_03444_,12.5µm
_04226_,12.5µm
net2187,12.5µm
_02806_,12.48µm
_02885_,12.48µm
_02061_,12.47µm
cpuregs\[26\]\[14\],12.47µm
_02887_,12.46µm
cpuregs\[17\]\[4\],12.46µm
cpuregs\[29\]\[30\],12.46µm
net2138,12.46µm
net2233,12.46µm
_03362_,12.44µm
_03836_,12.44µm
_04457_,12.44µm
net2275,12.44µm
_04149_,12.42µm
cpuregs\[0\]\[21\],12.42µm
cpuregs\[15\]\[9\],12.42µm
cpuregs\[25\]\[28\],12.42µm
cpuregs\[3\]\[3\],12.42µm
cpuregs\[9\]\[7\],12.42µm
mem_rdata_q\[12\],12.42µm
_00378_,12.405µm
net1718,12.4µm
_02079_,12.38µm
_02455_,12.38µm
_04428_,12.38µm
net1890,12.38µm
net2033,12.38µm
_01903_,12.37µm
_04422_,12.36µm
net1050,12.36µm
net1102,12.36µm
cpuregs\[18\]\[9\],12.355µm
_01644_,12.34µm
_01745_,12.34µm
_03791_,12.34µm
mem_rdata_q\[13\],12.34µm
_01264_,12.32µm
_02454_,12.32µm
_04017_,12.32µm
_04069_,12.32µm
cpuregs\[27\]\[12\],12.32µm
_04395_,12.3µm
alu_out_q\[20\],12.3µm
_02778_,12.29µm
_01282_,12.285µm
_03259_,12.285µm
_01998_,12.28µm
_02289_,12.28µm
_02535_,12.28µm
_04611_,12.28µm
_04697_,12.28µm
_02240_,12.26µm
_02278_,12.26µm
net1673,12.26µm
_02572_,12.24µm
_04558_,12.24µm
_01860_,12.22µm
_03932_,12.22µm
cpuregs\[11\]\[26\],12.22µm
cpuregs\[5\]\[21\],12.22µm
mem_wdata[30],12.21µm
_01144_,12.205µm
_02106_,12.2µm
_02362_,12.2µm
cpuregs\[9\]\[17\],12.2µm
net1957,12.2µm
cpuregs\[22\]\[20\],12.195µm
_02344_,12.18µm
_03640_,12.18µm
_04768_,12.18µm
_00946_,12.165µm
_01142_,12.165µm
_01521_,12.165µm
_02080_,12.16µm
_03495_,12.16µm
net2150,12.16µm
_01514_,12.145µm
_02804_,12.14µm
cpuregs\[4\]\[31\],12.14µm
is_slti_blt_slt,12.14µm
pcpi_rs1[27],12.14µm
pcpi_rs2[23],12.14µm
pcpi_rs2[27],12.14µm
pcpi_rs2[28],12.14µm
_01388_,12.135µm
_00064_,12.125µm
_02191_,12.12µm
_02896_,12.12µm
_04367_,12.12µm
instr_slti,12.12µm
mem_addr[16],12.11µm
_02798_,12.1µm
reg_next_pc\[7\],12.1µm
